"path","cve"
"lib/src/rules/avoid_return_types_on_setters.dart",CVE-2008-6995
"net/base/escape.cc",CVE-2008-6995
"lib/src/rules.dart",CVE-2008-6995
"test/rules/avoid_return_types_on_setters.dart",CVE-2008-6995
"net/base/escape_unittest.cc",CVE-2008-6995
"chrome/common/pref_names.cc",CVE-2008-6996
"chrome/common/chrome_paths.cc",CVE-2008-6996
"chrome/browser/download_manager.cc",CVE-2008-6996
"chrome/common/chrome_paths.h",CVE-2008-6996
"chrome/common/pref_names.h",CVE-2008-6996
"chrome/common/gfx/url_elider.cc",CVE-2008-6998
"chrome/app/chrome_dll_main.cc",CVE-2009-1412
"chrome/app/chrome_dll_main.cc",CVE-2009-1413
"chrome/app/chrome_dll_main.cc",CVE-2009-1414
"chrome/common/ipc_message_utils.cc",CVE-2009-1441
"chrome/common/ipc_message_unittest.cc",CVE-2009-1441
"net/url_request/url_request_http_job.cc",CVE-2009-2060
"net/url_request/url_request_unittest.cc",CVE-2009-2060
"net/tools/testserver/testserver.py",CVE-2009-2060
"net/http/http_network_transaction.h",CVE-2009-2060
"net/http/http_network_transaction.cc",CVE-2009-2060
"net/http/http_transaction_winhttp.h",CVE-2009-2060
"net/http/http_transaction_winhttp.cc",CVE-2009-2060
"net/base/net_error_list.h",CVE-2009-2060
"net/url_request/url_request_unittest.h",CVE-2009-2060
"net/http/http_network_transaction_unittest.cc",CVE-2009-2060
"net/http/http_response_headers.h",CVE-2009-2060
"net/http/http_response_headers.h",CVE-2009-2071
"net/http/http_network_transaction.h",CVE-2009-2071
"net/url_request/url_request_http_job.cc",CVE-2009-2071
"net/url_request/url_request_unittest.h",CVE-2009-2071
"net/tools/testserver/testserver.py",CVE-2009-2071
"net/base/net_error_list.h",CVE-2009-2071
"net/http/http_network_transaction_unittest.cc",CVE-2009-2071
"net/http/http_transaction_winhttp.cc",CVE-2009-2071
"net/http/http_transaction_winhttp.h",CVE-2009-2071
"net/http/http_network_transaction.cc",CVE-2009-2071
"net/url_request/url_request_unittest.cc",CVE-2009-2071
"net/http/http_chunked_decoder.cc",CVE-2009-2121
"net/http/http_chunked_decoder_unittest.cc",CVE-2009-2121
"net/base/cert_status_flags.h",CVE-2009-2973
"chrome/browser/ssl/ssl_error_info.cc",CVE-2009-2973
"net/base/x509_certificate_win.cc",CVE-2009-2973
