timestamp,path,aliases,reference
1088334425,libavcodec/utils.c,,CVE-2016-1528
1219498153,libavcodec/dca.c,,CVE-2008-4867
1233149846,libavformat/4xm.c,,CVE-2009-0385
1234143573,libavcodec/vp3.c,,CVE-2008-4610
1240365245,libavcodec/utils.c,,CVE-2010-3908
1258876115,libavcodec/rv34.c,,CVE-2011-0722
1259042741,libavcodec/rv34.c,,CVE-2011-0722
1288197001,libavcodec/vorbis_dec.c,,CVE-2010-4704
1295108346,libavcodec/vorbis_dec.c,,CVE-2011-0480
1298111581,libavcodec/vc1dec.c,,CVE-2011-0723
1300276432,libavformat/ape.c,,CVE-2011-2161
1311857994,libavformat/matroskadec.c,,CVE-2011-3504
1313012120,libavcodec/cavsdec.c,,CVE-2011-3362
1313012120,libavcodec/cavsdec.c,,CVE-2011-3973
1313012120,libavcodec/cavsdec.c,,CVE-2011-3974
1317936789,libavcodec/vmdav.c,,CVE-2011-4364
1319871004,libavcodec/vp3.c,,CVE-2011-3892
1321559920,libavcodec/vp6.c,,CVE-2011-4353
1321559929,libavcodec/vp5.c,,CVE-2011-4353
1321666969,libavutil/imgutils.c,libavcore/imgutils.c,CVE-2011-4353
1321889809,libavcodec/qdm2.c,,CVE-2011-4351
1323913383,libavcodec/h264_ps.c,,CVE-2012-0851
1323917969,libavcodec/aacsbr.c,,CVE-2012-0850
1323921561,libavcodec/mpegvideo.c,,CVE-2012-0856
1324005361,libavcodec/j2k_dwt.c,,CVE-2012-0849
1324064074,libavcodec/dpcm.c,,CVE-2012-0854
1324088338,libavcodec/atrac3.c,,CVE-2012-0853
1324264163,libavcodec/adpcm.c,,CVE-2012-0852
1324651344,libavcodec/vp3.c,,CVE-2011-4352
1324651344,libavcodec/svq1dec.c,,CVE-2011-4579
1324748575,libavcodec/j2kdec.c,,CVE-2012-0855
1324749096,libavcodec/j2kdec.c,,CVE-2012-0857
1324768227,libavcodec/ws-snd1.c,,CVE-2012-0848
1324835743,libavcodec/shorten.c,,CVE-2012-0858
1324995660,libavfilter/avfilter.c,,CVE-2012-0847
1325710688,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2011-3895
1325710688,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2011-3895
1325710688,libavcodec/vorbis.c,,CVE-2011-3893
1325710688,libavcodec/vorbis.c,,CVE-2011-3893
1325710688,libavformat/matroskadec.c,,CVE-2011-3893
1325710688,libavcodec/vorbis.c,,CVE-2012-0859
1325794917,libavformat/matroskadec.c,,CVE-2011-3893
1325876302,libavcodec/vorbis.c,,CVE-2011-3893
1325974612,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2011-3895
1326010166,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2011-3893
1327435721,libavcodec/error_resilience.c,,CVE-2011-3941
1327470510,ffmpeg.c,,CVE-2011-3935
1327470510,libavcodec/h263dec.c,,CVE-2011-3937
1327470510,libavformat/nsvdec.c,,CVE-2011-3940
1327506086,libavformat/dv.c,libav/dv.c,CVE-2011-3929
1327506086,libavformat/dv.c,libav/dv.c,CVE-2011-3936
1327506087,libavformat/dv.c,libav/dv.c,CVE-2011-3929
1327522320,libavcodec/vp3.c,,CVE-2011-3934
1327527131,libavcodec/smacker.c,,CVE-2011-3944
1327530345,libavcodec/kgv1dec.c,,CVE-2011-3945
1327532169,libavcodec/mjpegbdec.c,,CVE-2011-3947
1327593957,libavcodec/diracdec.c,,CVE-2011-3949
1327593957,libavcodec/diracdec.c,,CVE-2011-3950
1327593957,libavcodec/dpcm.c,,CVE-2011-3951
1327595449,libavcodec/kmvc.c,,CVE-2011-3952
1327604078,libavcodec/h264_sei.c,,CVE-2011-3946
1327605026,libavformat/dv.c,libav/dv.c,CVE-2011-3936
1327621656,libavcodec/mjpegbdec.c,,CVE-2011-3947
1327947246,libavformat/nsvdec.c,,CVE-2011-3940
1327947319,libavformat/nsvdec.c,,CVE-2011-3940
1327947341,libavformat/nsvdec.c,,CVE-2011-3940
1327947377,libavcodec/kmvc.c,,CVE-2011-3952
1328063533,libavformat/dv.c,libav/dv.c,CVE-2011-3929
1328063533,libavformat/dv.c,libav/dv.c,CVE-2011-3936
1328063533,libavformat/dv.c,libav/dv.c,CVE-2011-3936
1329423525,libavcodec/atrac3.c,,CVE-2012-0853
1329423525,libavcodec/shorten.c,,CVE-2012-0858
1329522143,libavcodec/dpcm.c,,CVE-2011-3951
1330709492,libavcodec/h263dec.c,,CVE-2011-3937
1332443834,libavcodec/wmalosslessdec.c,,CVE-2012-2785
1332443834,libavcodec/wmalosslessdec.c,,CVE-2012-2785
1332456217,libavcodec/vqavideo.c,,CVE-2012-0947
1332540715,libavcodec/rv34.c,,CVE-2012-2772
1332545538,libavcodec/internal.h,,CVE-2012-2774
1332545538,libavcodec/mpegvideo.c,,CVE-2012-2774
1332545538,libavcodec/pthread.c,,CVE-2012-2774
1332545538,libavcodec/utils.c,,CVE-2012-2774
1332545538,libavcodec/internal.h,,CVE-2012-2773
1332545538,libavcodec/mpegvideo.c,,CVE-2012-2773
1332545538,libavcodec/pthread.c,,CVE-2012-2773
1332545538,libavcodec/utils.c,,CVE-2012-2773
1332556011,libavcodec/indeo3.c,,CVE-2012-2776
1332556012,libavcodec/cavsdec.c,,CVE-2012-2777
1332562899,libavcodec/vp56.c,,CVE-2012-2783
1332597252,libavcodec/alsdec.c,,CVE-2012-2775
1332602620,libavcodec/h264.c,,CVE-2012-2782
1332607435,libavcodec/indeo5.c,,CVE-2012-2779
1334350734,libavcodec/dfa.c,,CVE-2012-2786
1334350773,libavcodec/dfa.c,,CVE-2012-2798
1334355878,libavformat/avidec.c,libav/avidec.c,CVE-2012-2788
1334355878,libavcodec/mpegaudiodec.c,,CVE-2012-2797
1334396783,libavcodec/wmaprodec.c,,CVE-2012-2789
1334403329,libavcodec/wmalosslessdec.c,,CVE-2012-2792
1334407791,libavcodec/wmalosslessdec.c,,CVE-2012-2795
1334407848,libavcodec/wmalosslessdec.c,,CVE-2012-2795
1334407909,libavcodec/wmalosslessdec.c,,CVE-2012-2795
1334414022,libavcodec/wmalosslessdec.c,,CVE-2012-2799
1334422450,libavcodec/lagarith.c,,CVE-2012-2793
1334426691,libavcodec/indeo4.c,,CVE-2012-2787
1334489179,libavcodec/indeo4.c,,CVE-2012-2791
1334489179,libavcodec/ivi_common.c,,CVE-2012-2791
1334489179,libavcodec/ivi_common.h,,CVE-2012-2791
1334494760,libavcodec/indeo5.c,,CVE-2012-2794
1334494760,libavcodec/ivi_common.c,,CVE-2012-2800
1334514037,libavcodec/alsdec.c,,CVE-2012-2790
1334525829,libavformat/mov.c,libav/mov.c,CVE-2016-3062
