path,cve
lib/libX11/src/FontNames.c,6.0_011
lib/libX11/src/GetImage.c,6.0_011
lib/libX11/src/ListExt.c,6.0_011
lib/libX11/src/ModMap.c,6.0_011
lib/libXfixes/src/Region.c,6.0_011
lib/libXi/src/XGMotion.c,6.0_011
lib/libXi/src/XGetBMap.c,6.0_011
lib/libXi/src/XGetDCtl.c,6.0_011
lib/libXi/src/XGetFCtl.c,6.0_011
lib/libXi/src/XGetKMap.c,6.0_011
lib/libXi/src/XGetMMap.c,6.0_011
lib/libXi/src/XIQueryDevice.c,6.0_011
lib/libXi/src/XListDev.c,6.0_011
lib/libXi/src/XOpenDev.c,6.0_011
lib/libXi/src/XQueryDv.c,6.0_011
lib/libXrandr/src/XrrConfig.c,6.0_011
lib/libXrandr/src/XrrCrtc.c,6.0_011
lib/libXrandr/src/XrrMonitor.c,6.0_011
lib/libXrandr/src/XrrOutput.c,6.0_011
lib/libXrandr/src/XrrProvider.c,6.0_011
lib/libXrandr/src/XrrScreen.c,6.0_011
lib/libXrender/src/Filter.c,6.0_011
lib/libXrender/src/Xrender.c,6.0_011
lib/libXtst/src/XRecord.c,6.0_011
lib/libXv/src/Xv.c,6.0_011
lib/libXvMC/src/XvMC.c,6.0_011
gnu/usr.bin/perl/regcomp.c,6.0_042
sys/kern/exec_elf.c,6.0_020
sys/kern/exec_subr.c,6.0_024
sys/arch/amd64/amd64/copy.S,6.0_040
sys/arch/amd64/amd64/cpu.c,6.0_040
sys/arch/amd64/amd64/trap.c,6.0_040
sys/arch/amd64/amd64/vector.S,6.0_040
sys/arch/amd64/include/codepatch.h,6.0_040
sys/arch/i386/i386/locore.s,6.0_040
sys/arch/i386/i386/trap.c,6.0_040
sys/arch/amd64/amd64/fpu.c,6.0_045
sys/arch/amd64/amd64/locore.S,6.0_045
sys/arch/amd64/amd64/trap.c,6.0_045
sys/arch/amd64/amd64/vector.S,6.0_045
sys/net80211/ieee80211_ioctl.c,6.0_039
sys/net80211/ieee80211_pae_input.c,6.0_039
lib/libssl/src/crypto/ecdsa/ecs_ossl.c,6.0_016
sys/kern/uipc_socket.c,6.0_038
sys/dev/ic/sti.c,6.0_027
lib/libssl/src/ssl/ssl_lib.c,6.0_009
gnu/usr.bin/perl/cpan/File-Path/lib/File/Path.pm,6.0_026
sys/net80211/ieee80211_input.c,6.0_018
sys/net80211/ieee80211_node.h,6.0_018
sys/net80211/ieee80211_pae_input.c,6.0_018
sys/net80211/ieee80211_pae_output.c,6.0_018
sys/net80211/ieee80211_proto.c,6.0_018
sys/kern/kern_descrip.c,6.0_036
sys/net80211/ieee80211_crypto.c,6.0_041
sys/net80211/ieee80211_crypto.h,6.0_041
sys/net80211/ieee80211_node.c,6.0_041
sys/net80211/ieee80211_node.h,6.0_041
sys/net80211/ieee80211_pae_input.c,6.0_041
sys/net80211/ieee80211_proto.c,6.0_041
sys/kern/uipc_syscalls.c,6.0_034
sys/kern/sys_process.c,6.0_035
sys/netinet/tcp_usrreq.c,6.0_033
lib/freetype/src/psaux/psobjs.c,6.0_023
lib/freetype/src/psaux/t1decode.c,6.0_023
sys/kern/vfs_getcwd.c,6.0_031
sys/kern/uipc_syscalls.c,6.0_032
